topic,notes
"Roy Batty's tears in rain monologue, Blade Runner","mortality and memory — pairs with Baldwin IV"
"The Grand Inquisitor chapter, The Brothers Karamazov","do humans actually want freedom"
"The diner scene in Heat — De Niro and Pacino","the loneliness of being understood only by your enemy"
"Salieri's Patron Saint of Mediocrity confession, Amadeus","being given enough talent to recognize genius but not to be it"
"Carl Sagan's Pale Blue Dot passage","secular humility at planetary scale"
"The closing pages of Stoner by John Williams","the dignity of an invisible life"
"Vaclav Havel's greengrocer, The Power of the Powerless","how small daily compliances sustain regimes"
"Frodo and Gandalf — all we have to decide","agency under constraint, pairs with Baldwin"
"The carousel pitch, Mad Men","nostalgia as the wound we sell ourselves"
"Bhagavad Gita chapter 2 — Krishna and Arjuna","action without attachment to its fruits"
"Jim Valvano's 1993 ESPY speech","don't give up — delivered while dying"
"The final five minutes of Six Feet Under","every ending we share"
"Kafka's Before the Law","the doors we never walk through"
"Marcus Aurelius Meditations Book 2 opening","the actual Stoicism Michael Corleone counterfeited"
"The Stockdale Paradox","faith versus brutal facts in long suffering"
"Whiplash final drum solo","does brutal teaching make monsters or geniuses"
"Mary Oliver's Wild Geese","permission and belonging"
"The wind in the trees ending of Rashomon","choosing decency after truth collapses"
"Mr. Rogers' 1969 Senate testimony","the most personal was the most creative, twenty years early"
"Ivan Ilyich's deathbed, Tolstoy","what a dying man finally sees"
